54 (T)	11111111	11000000	11111111	11000000	00001100	00000000	00001100	00000000	00001100	00000000	00001100	00000000	00001100	00000000	00001100	00000000	00001100	00000000	00001100	00000000	00001100	00000000	00001100	00000000	00001100	00000000	00000000	00000000	00000000	00000000	00000000	00000000
55 (U)	11000000	11000000	11000000	11000000	11000000	11000000	11000000	11000000	11000000	11000000	11000000	11000000	11000000	11000000	11000000	11000000	11000000	11000000	11000000	11000000	11100001	11000000	01111111	10000000	00111111	00000000	00000000	00000000	00000000	00000000	00000000	00000000
56 (V)	11000000	01100000	11000000	01100000	01100000	11000000	01100000	11000000	01100000	11000000	00110001	10000000	00110001	10000000	00110001	10000000	00011011	00000000	00011011	00000000	00011011	00000000	00001110	00000000	00001110	00000000	00000000	00000000	00000000	00000000	00000000	00000000
57 (W)	11000001	10000011	11000001	10000011	01100011	11000110	01100011	11000110	01100011	11000110	00110110	01101100	00110110	01101100	00110110	01101100	00011110	01111000	00011100	00111000	00011100	00111000	00001100	00110000	00001100	00110000	00000000	00000000	00000000	00000000	00000000	00000000
58 (X)	11000001	10000000	11000001	10000000	01100011	00000000	01100011	00000000	00110110	00000000	00110110	00000000	00011100	00000000	00110110	00000000	00110110	00000000	01100011	00000000	01100011	00000000	11000001	10000000	11000001	10000000	00000000	00000000	00000000	00000000	00000000	00000000
59 (Y)	11000000	11000000	11000000	11000000	01100001	10000000	01100001	10000000	00110011	00000000	00110011	00000000	00011110	00000000	00011110	00000000	00001100	00000000	00001100	00000000	00001100	00000000	00001100	00000000	00001100	00000000	00000000	00000000	00000000	00000000	00000000	00000000
5A (Z)	11111111	11000000	11111111	11000000	00000000	11000000	00000001	11000000	00000011	10000000	00000111	00000000	00001110	00000000	00011100	00000000	00111000	00000000	01110000	00000000	11100000	00000000	11111111	11000000	11111111	11000000	00000000	00000000	00000000	00000000	00000000	00000000
5B ([)	11111100	00000000	11111100	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11111100	00000000	11111100	00000000	00000000	00000000	00000000	00000000	00000000	00000000
5C (\)	11000000	00000000	11000000	00000000	01100000	00000000	01100000	00000000	00110000	00000000	00110000	00000000	00011000	00000000	00011000	00000000	00001100	00000000	00001100	00000000	00000110	00000000	00000110	00000000	00000011	00000000	00000011	00000000	00000000	00000000	00000000	00000000
5D (])	11111100	00000000	11111100	00000000	00001100	00000000	00001100	00000000	00001100	00000000	00001100	00000000	00001100	00000000	00001100	00000000	00001100	00000000	00001100	00000000	00001100	00000000	11111100	00000000	11111100	00000000	00000000	00000000	00000000	00000000	00000000	00000000
5E (^)	00001100	00000000	00011110	00000000	00111111	00000000	01101101	10000000	11001100	11000000	00001100	00000000	00001100	00000000	00001100	00000000	00001100	00000000	00001100	00000000	00001100	00000000	00001100	00000000	00001100	00000000	00000000	00000000	00000000	00000000	00000000	00000000
5F (_)	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	11111111	10000000	11111111	10000000	00000000	00000000	00000000	00000000	00000000	00000000
60 (`)	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000
61 (a)	00000000	00000000	00000000	00000000	00000000	00000000	01111110	00000000	11111111	00000000	11000011	00000000	00000011	00000000	01111111	00000000	11111011	00000000	11000011	00000000	11000011	00000000	11111111	00000000	01111011	00000000	00000000	00000000	00000000	00000000	00000000	00000000
62 (b)	11000000	00000000	11000000	00000000	11000000	00000000	11011110	00000000	11111111	00000000	11100011	10000000	11000001	10000000	11000001	10000000	11000001	10000000	11000001	10000000	11100011	10000000	11111111	00000000	11011110	00000000	00000000	00000000	00000000	00000000	00000000	00000000
63 (c)	00000000	00000000	00000000	00000000	00000000	00000000	00111110	00000000	01111111	00000000	11100011	10000000	11000001	10000000	11000000	00000000	11000000	00000000	11000001	10000000	11100011	10000000	01111111	00000000	00111110	00000000	00000000	00000000	00000000	00000000	00000000	00000000
64 (d)	00000001	10000000	00000001	10000000	00000001	10000000	00111101	10000000	01111111	10000000	11100011	10000000	11000001	10000000	11000001	10000000	11000001	10000000	11000001	10000000	11100011	10000000	01111111	10000000	00111101	10000000	00000000	00000000	00000000	00000000	00000000	00000000
65 (e)	00000000	00000000	00000000	00000000	00000000	00000000	00111110	00000000	01111111	00000000	11100011	10000000	11000001	10000000	11111111	10000000	11111111	10000000	11000000	00000000	11100011	10000000	01111111	00000000	00111110	00000000	00000000	00000000	00000000	00000000	00000000	00000000
66 (f)	00111000	00000000	01111000	00000000	01100000	00000000	11111000	00000000	11111000	00000000	01100000	00000000	01100000	00000000	01100000	00000000	01100000	00000000	01100000	00000000	01100000	00000000	01100000	00000000	01100000	00000000	00000000	00000000	00000000	00000000	00000000	00000000
67 (g)	00000000	00000000	00000000	00000000	00000000	00000000	00111101	10000000	01111111	10000000	11100011	10000000	11000001	10000000	11000001	10000000	11000001	10000000	11100011	10000000	01111111	10000000	00111101	10000000	00000001	10000000	11000011	10000000	01111111	00000000	00111110	00000000
68 (h)	11000000	00000000	11000000	00000000	11000000	00000000	11011110	00000000	11111111	00000000	11100011	00000000	11000011	00000000	11000011	00000000	11000011	00000000	11000011	00000000	11000011	00000000	11000011	00000000	11000011	00000000	00000000	00000000	00000000	00000000	00000000	00000000
69 (i)	11000000	00000000	11000000	00000000	00000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000
6A (j)	00000000	00000000	00000000	00000000	00000000	00000000	00110000	00000000	00110000	00000000	00000000	00000000	00110000	00000000	00110000	00000000	00110000	00000000	00110000	00000000	00110000	00000000	00110000	00000000	00110000	00000000	00110000	00000000	11110000	00000000	11100000	00000000
